date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2019-07-26,51.8699989,52.4324989,51.7849998,51.9350014,50.6893921,70475600.0,70475600.0,-1.18061,-2.276,51.63563,"July 26, 19",-0.02276
2019-07-29,52.1150017,52.6599998,52.1100006,52.4199982,51.1627655,86693600.0,86693600.0,-0.95224,-1.827,51.97759,"July 29, 19",-0.01827
2019-07-30,52.1899986,52.5400009,51.8274994,52.1949997,50.9431534,135742800.0,135742800.0,-1.24685,-2.389,51.77022,"July 30, 19",-0.02389
2019-07-31,54.1049995,55.3424988,52.8250008,53.2599983,51.9826126,277125600.0,277125600.0,-2.12239,-3.923,53.38337,"July 31, 19",-0.03923
2019-08-01,53.4749985,54.5074997,51.6850014,52.1074982,50.8577499,216071600.0,216071600.0,-2.6172500000000003,-4.894,52.35008,"August 01, 19",-0.04894
2019-08-02,51.3824997,51.6074982,50.4075012,51.0050011,49.7817001,163448400.0,163448400.0,-1.6008,-3.115,50.5989,"August 02, 19",-0.03115
2019-08-05,49.4975014,49.6624985,48.1450005,48.3349991,47.1757278,209572000.0,209572000.0,-2.32177,-4.691,48.32774,"August 05, 19",-0.04691
2019-08-06,49.0774994,49.5175018,48.5099983,49.25,48.0687866,143299200.0,143299200.0,-1.00871,-2.055,48.69876,"August 06, 19",-0.02055
2019-08-07,48.8525009,49.8899994,48.4550018,49.7599983,48.566555,133457600.0,133457600.0,-0.28595,-0.585,48.97052,"August 07, 19",-0.00585
2019-08-08,50.0499992,50.8824997,49.8474998,50.8574982,49.6377258,108038000.0,108038000.0,-0.41227,-0.8240000000000001,50.12258,"August 08, 19",-0.00824
2019-08-09,50.3250008,50.6899986,49.8224983,50.2475014,49.2287025,98478800.0,98478800.0,-1.0963,-2.178,49.91373,"August 09, 19",-0.02178
2019-08-12,49.9049988,50.5125008,49.7874985,50.1199989,49.1037865,89927600.0,89927600.0,-0.8012100000000001,-1.605,49.80126,"August 12, 19",-0.01605
2019-08-13,50.2550011,53.0349998,50.1199989,52.2425003,51.1832504,188874000.0,188874000.0,0.92825,1.847,51.44608,"August 13, 19",0.01847
2019-08-14,50.7900009,51.6100006,50.6474991,50.6875,49.6597824,146189600.0,146189600.0,-1.13022,-2.225,50.63909,"August 14, 19",-0.02225
2019-08-15,50.8650017,51.2849998,49.9174995,50.4350014,49.4123955,108909600.0,108909600.0,-1.45261,-2.856,50.20496,"August 15, 19",-0.02856
2019-08-16,51.0699997,51.7900009,50.9599991,51.625,50.57827,110481600.0,110481600.0,-0.49173,-0.963,51.10942,"August 16, 19",-0.00963
2019-08-19,52.6549988,53.1824989,52.5074997,52.5875015,51.5212517,97654400.0,97654400.0,-1.13375,-2.153,52.40375,"August 19, 19",-0.02153
2019-08-20,52.7200012,53.3375015,52.5800018,52.5900002,51.5237007,107537200.0,107537200.0,-1.1963,-2.269,52.4804,"August 20, 19",-0.02269
2019-08-21,53.2475014,53.4124985,52.9000015,53.1599998,52.0821419,86141600.0,86141600.0,-1.16536,-2.189,52.79821,"August 21, 19",-0.02189
2019-08-22,53.2975006,53.6100006,52.6875,53.1150017,52.0380592,89014800.0,89014800.0,-1.25944,-2.363,52.77852,"August 22, 19",-0.02363
2019-08-23,52.3574982,53.0125008,50.25,50.6599998,49.6328392,187272000.00000003,187272000.00000003,-2.72466,-5.204,50.96511,"August 23, 19",-0.05204
2019-08-26,51.4650002,51.7975006,51.2649994,51.6225014,50.5758171,104174400.0,104174400.0,-0.8891800000000001,-1.728,51.21277,"August 26, 19",-0.01728
2019-08-27,51.9650002,52.1375008,50.8824997,51.0400009,50.0051308,103493200.0,103493200.0,-1.95987,-3.772,51.00838,"August 27, 19",-0.03772
2019-08-28,51.0250015,51.4300003,50.8300018,51.3824997,50.340683,63755200.0,63755200.0,-0.68432,-1.341,50.8669,"August 28, 19",-0.01341
2019-08-29,52.125,52.3300018,51.6650009,52.2524986,51.1930428,83962000.0,83962000.0,-0.93196,-1.788,51.72935,"August 29, 19",-0.01788
2019-08-30,52.5400009,52.6124992,51.7999992,52.1850014,51.1269112,84573600.0,84573600.0,-1.41309,-2.69,51.84647,"August 30, 19",-0.0269
2019-09-03,51.6074982,51.7449989,51.0550003,51.4249992,50.3823204,80092000.0,80092000.0,-1.22518,-2.374,51.06077,"September 03, 19",-0.02374
2019-09-04,52.0974998,52.3699989,51.8300018,52.2975006,51.237133,76752400.0,76752400.0,-0.8603700000000001,-1.651,51.81238,"September 04, 19",-0.01651
2019-09-05,53.0,53.4925003,52.8774986,53.3199997,52.2389107,95654800.0,95654800.0,-0.76109,-1.436,52.86964,"September 05, 19",-0.01436
2019-09-06,53.5125008,53.6049995,53.1274986,53.3149986,52.234005,77449200.0,77449200.0,-1.2785,-2.389,52.98883,"September 06, 19",-0.02389
2019-09-09,53.7099991,54.1100006,52.7675018,53.5424995,52.4568939,109237600.0,109237600.0,-1.25311,-2.333,53.11147,"September 09, 19",-0.02333
2019-09-10,53.4650002,54.1949997,52.9275017,54.1749992,53.0765648,127111600.0,127111600.0,-0.38844,-0.727,53.39969,"September 10, 19",-0.00727
2019-09-11,54.5175018,55.9275017,54.4324989,55.8974991,54.7641449,177158399.99999997,177158399.99999997,0.24664,0.452,55.04138,"September 11, 19",0.00452
2019-09-12,56.2000008,56.6049995,55.7150002,55.7724991,54.6416779,128906800.0,128906800.0,-1.55832,-2.773,55.65389,"September 12, 19",-0.02773
2019-09-13,55.0,55.1974983,54.2550011,54.6875,53.5786705,159053200.0,159053200.0,-1.42133,-2.584,54.34372,"September 13, 19",-0.02584
2019-09-16,54.4324989,55.0325012,54.3899994,54.9749985,53.8603439,84632400.00000001,84632400.00000001,-0.57215,-1.051,54.42761,"September 16, 19",-0.01051
2019-09-17,54.9900017,55.2050018,54.7799988,55.1749992,54.0562859,73274800.0,73274800.0,-0.93372,-1.698,54.68043,"September 17, 19",-0.01698
2019-09-18,55.2649994,55.7125015,54.8600006,55.6925011,54.5632973,101360000.0,101360000.0,-0.7017,-1.27,55.04527,"September 18, 19",-0.0127
2019-09-19,55.5024986,55.9399986,55.0924988,55.2400017,54.1199722,88242400.0,88242400.0,-1.38253,-2.491,55.05082,"September 19, 19",-0.02491
2019-09-20,55.3450012,55.6399994,54.3675003,54.4324989,53.328846,221652400.00000003,221652400.00000003,-2.01616,-3.643,54.44545,"September 20, 19",-0.03643
2019-09-23,54.7374992,54.9599991,54.4124985,54.6800003,53.5713234,76662000.0,76662000.0,-1.16618,-2.13,54.31461,"September 23, 19",-0.0213
2019-09-24,55.2574997,55.6225014,54.2975006,54.4199982,53.3166008,124763200.0,124763200.0,-1.9409,-3.512,54.4122,"September 24, 19",-0.03512
2019-09-25,54.6375008,55.375,54.2849998,55.2574997,54.1371117,87613600.0,87613600.0,-0.50039,-0.916,54.59904,"September 25, 19",-0.00916
2019-09-26,55.0,55.2350006,54.7075005,54.9724998,53.8578987,75334000.0,75334000.0,-1.1421,-2.077,54.60013,"September 26, 19",-0.02077
2019-09-27,55.1349983,55.2400017,54.3199997,54.7050018,53.5958252,101408000.0,101408000.0,-1.53917,-2.792,54.38528,"September 27, 19",-0.02792
